type,title,date_added,release_year,rating,description
Movie,The Late Bloomer,06-Nov-20,2016,R,"A sex therapist with pituitary issues finally gets to experience puberty in all its glory at age 30, when an operation unleashes his raging hormones."
TV Show,Wrong Kind of Black,06-Nov-20,2018,TV-MA,"In 1970s Melbourne, a DJ named Boori Monty Pryor and his brother Paul navigate racial tensions and police encounters amid disco and discrimination."
Movie,A New York Christmas Wedding,05-Nov-20,2020,TV-MA,"As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend."
Movie,Alone/Together,05-Nov-20,2019,TV-14,"Eight years after their breakup, college sweethearts Christine and Raf reconnect at different points in their lives as feelings from the past resurface."
TV Show,Carmel: Who Killed Maria Marta?,05-Nov-20,2020,TV-14,"A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
Movie,Midnight at the Magnolia,05-Nov-20,2020,TV-G,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.
Movie,One More Try,05-Nov-20,2012,TV-14,"When her son's condition becomes severe, a woman reconnects with the biological father. But the reunion puts a strain on their respective relationships."
Movie,Operation Christmas Drop,05-Nov-20,2020,TV-G,A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.
TV Show,Paranormal,05-Nov-20,2020,TV-14,"After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations."
Movie,A Christmas Catch,04-Nov-20,2018,TV-G,A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues — and new feelings — for the suspect.
Movie,Christmas with a Prince,04-Nov-20,2018,TV-PG,A dedicated pediatrician reconsiders her feelings for a carefree prince as he secretly recovers from a ski accident alongside her young patients.
TV Show,Love & Anarchy,04-Nov-20,2020,TV-MA,A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.
Movie,Miss India,04-Nov-20,2020,TV-PG,"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business."
Movie,Felix Lobrecht: Hype,03-Nov-20,2020,TV-MA,"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special."
Movie,MOTHER,03-Nov-20,2020,TV-14,"Shuhei’s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy."
Movie,The Beginning of Life,03-Nov-20,2016,TV-PG,"Scientists, advocates and parents around the world explore how carefully tending to kids' earliest needs can shape the course of human society."
Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,03-Nov-20,2020,TV-PG,"Guillermo del Toro and Alfonso Cuarón discuss fellow Mexican director Fernando Frías de la Parra's award-winning film ""I'm No Longer Here."""
TV Show,Can You Hear Me?,02-Nov-20,2020,TV-MA,Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.
Movie,Prospect,02-Nov-20,2018,R,A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.
TV Show,60 Days In,01-Nov-20,2019,TV-MA,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries."
Movie,Christmas Break-In,01-Nov-20,2019,TV-PG,"Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage."
TV Show,Dawson's Creek,01-Nov-20,2002,TV-14,"This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex."
Movie,Elf Pets: A Fox Cub’s Christmas Tale,01-Nov-20,2020,TV-Y,An elite team of elves – and their furry fox cub friends – help bring the Christmas spirit to a boy whose mom may not make it home for the holidays.
Movie,Elf Pets: Santa’s Reindeer Rescue,01-Nov-20,2020,TV-Y,"Determined to help Santa get ready for his merry rounds of gift-giving, a team of special elves wrangles in more reindeer and much-needed holiday magic."
Movie,Elliot the Littlest Reindeer,01-Nov-20,2018,PG,"When Blitzen suddenly retires, a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts."
TV Show,Forged in Fire,01-Nov-20,2019,TV-14,Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.
TV Show,Leah Remini: Scientology and the Aftermath,01-Nov-20,2018,TV-14,Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.
TV Show,LEGO Jurassic World: Legend of Isla Nublar,01-Nov-20,2019,TV-Y,"At Jurassic Park, a velociraptor handler and an operations manager tackle crises of epic proportions as they try to prevent dinosaur-sized disasters."
TV Show,LEGO Jurassic World: Secret Exhibit,01-Nov-20,2018,TV-Y,A can-do problem solver teams up with a rugged animal behaviorist to transport a trio of dinosaurs across the park to a super-secret exhibit.
TV Show,LEGO Ninjago,01-Nov-20,2020,TV-Y7,"While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested."
TV Show,LEGO Ninjago: Masters of Spinjitzu,01-Nov-20,2019,TV-Y7,"Kai, Jay, Cole and Zane must master their elemental powers and Spinjitzu weapons to protect the land of Ninjago, which also has an underworld."
TV Show,LEGO: CITY Adventures,01-Nov-20,2019,TV-Y,"In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness."
Movie,Little Monsters,01-Nov-20,1989,PG,"Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends."
Movie,Mile 22,01-Nov-20,2018,R,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail."
Movie,Piercing,01-Nov-20,2018,R,A family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.
Movie,Snowden,01-Nov-20,2016,R,This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs.
TV Show,The Garfield Show,01-Nov-20,2018,TV-Y,"Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie."
TV Show,The Good Detective,01-Nov-20,2020,TV-MA,"When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths."
Movie,The Impossible,01-Nov-20,2012,PG-13,"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia."
Movie,The Next Karate Kid,01-Nov-20,1994,PG,"In Boston, karate master Mr. Miyagi finds a new pupil in troubled teen Julie Pierce when she gets bullied by a group of relentless classmates."
TV Show,Voice,01-Nov-20,2018,TV-14,"A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder."
Movie,Wheels of Fortune,01-Nov-20,2020,R,"To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will."
TV Show,Afronta! Facing It!,31-Oct-20,2017,TV-PG,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community."
Movie,The 12th Man,31-Oct-20,2018,TV-MA,"Based on true events, this story follows a Norwegian saboteur’s harrowing struggle to reach safety after escaping a Nazi attack during World War II."
TV Show,Zumbo's Just Desserts,31-Oct-20,2019,TV-PG,"Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize."
Movie,Hidden in Plain Sight,30-Oct-20,2019,TV-14,A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.
Movie,His House,30-Oct-20,2020,TV-14,"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home."
Movie,In Line,30-Oct-20,2017,TV-14,"A convicted murderer gets out of prison and reunites with his wife, who is plotting revenge against him after years of physical and emotional abuse."
Movie,Kaali Khuhi,30-Oct-20,2020,TV-14,"When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl."
TV Show,Kongsuni and Friends,30-Oct-20,2020,TV-Y,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.
TV Show,Marvel's Agents of S.H.I.E.L.D.,30-Oct-20,2020,TV-14,"Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats."
Movie,Rogue City,30-Oct-20,2020,TV-MA,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands."
TV Show,Somebody Feed Phil,30-Oct-20,2020,TV-14,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more."
TV Show,Suburra: Blood on Rome,30-Oct-20,2020,TV-MA,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
Movie,The Day of the Lord,30-Oct-20,2020,TV-MA,"In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter."
Movie,Pagpag: Nine Lives,29-Oct-20,2013,TV-14,"After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit."
Movie,Holidate,28-Oct-20,2020,TV-MA,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way."
Movie,La Gran Ilusión,28-Oct-20,2016,TV-14,"Known as ""El Mago Pop,"" illusionist Antonio Díaz shocks and awes celebrities and bystanders around the world with his mind-blowing performances."
Movie,Metallica Through The Never,28-Oct-20,2013,R,"As heavy metal band Metallica tears up the stage, a young roadie is sent on an urgent errand. But his mission soon takes a surreal turn."
Movie,Nobody Sleeps in the Woods Tonight,28-Oct-20,2020,TV-MA,"Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever."
Movie,Secrets of the Saqqara Tomb,28-Oct-20,2020,TV-PG,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find."
TV Show,Blood of Zeus,27-Oct-20,2020,TV-MA,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
TV Show,Chico Bon Bon: Monkey with a Tool Belt,27-Oct-20,2020,TV-Y,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems."
Movie,Guillermo Vilas: Settling the Score,27-Oct-20,2020,TV-14,"An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s."
Movie,Sarah Cooper: Everything's Fine,27-Oct-20,2020,TV-MA,"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests."
TV Show,The Devil Punisher,26-Oct-20,2020,TV-14,"A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance."
Movie,Ajab Prem Ki Ghazab Kahani,25-Oct-20,2009,TV-14,"A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart."
Movie,Black '47,24-Oct-20,2018,R,"When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible."
Movie,I Am Woman,24-Oct-20,2019,TV-MA,"In the 1960s, Australian singer Helen Reddy struggles with misogyny in the music business — until she records an anthem for the women's movement."
Movie,Alice Junior,23-Oct-20,2019,TV-MA,"In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss."
TV Show,Barbarians,23-Oct-20,2020,TV-MA,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
TV Show,Move,23-Oct-20,2020,TV-MA,Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.
Movie,Over the Moon,23-Oct-20,2020,PG,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."
Movie,Shattered Memories,23-Oct-20,2018,TV-14,"When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer."
TV Show,Stolen Away,23-Oct-20,2020,TV-MA,"Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia."
TV Show,The Queen's Gambit,23-Oct-20,2020,TV-MA,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction."
Movie,Bending the Arc,22-Oct-20,2017,TV-MA,This documentary follows a group of ambitious advocates whose mission to save lives in Haiti turns into a global fight for health care and justice.
Movie,Cadaver,22-Oct-20,2020,TV-MA,"When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission."
Movie,Exes Baggage,22-Oct-20,2018,TV-MA,"After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past."
Movie,Fisherman's Friends,22-Oct-20,2019,PG-13,"Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay."
Movie,The Hows of Us,22-Oct-20,2018,TV-14,"A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?"
Movie,The Hummingbird Project,22-Oct-20,2018,R,"After discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation."
Movie,"Yes, God, Yes",22-Oct-20,2020,R,"A devoutly religious teen grapples with her own sexual awakening, and attends a Catholic school retreat in the hopes of suppressing her newfound urges."
Movie,Brave Blue World: Racing to Solve Our Water Crisis,21-Oct-20,2020,TV-PG,"From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water."
TV Show,My Next Guest Needs No Introduction With David Letterman,21-Oct-20,2020,TV-MA,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.
Movie,Rebecca,21-Oct-20,2020,PG-13,"A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife."
Movie,The Magic School Bus Rides Again The Frizz Connection,20-Oct-20,2020,TV-Y,"Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!"
Movie,Tremors: Shrieker Island,20-Oct-20,2020,PG-13,"When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts."
Movie,Beirut Oh Beirut,19-Oct-20,1975,TV-14,"In the aftermath of the 1967 Arab-Israeli War, four young Lebanese navigate their existence along rapidly transforming political lines."
Movie,Bosta,19-Oct-20,2005,TV-14,"After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines."
Movie,Ghadi,19-Oct-20,2013,TV-MA,"When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized, miraculous events begin to occur."
Movie,Heritages,19-Oct-20,2014,TV-14,"After being forced to leave his country three times, a Lebanese film director traces his roots and analyzes key moments of the nation's history."
Movie,Listen,19-Oct-20,2017,TV-MA,"A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses."
Movie,Out of Life,19-Oct-20,1991,TV-MA,"Kidnapped by guerrillas in Beirut, a French photojournalist refuses to yield his dignity despite being tortured and brainwashed by his captors."
Movie,Panoptic,19-Oct-20,2017,TV-MA,This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.
Movie,Taxi Ballad,19-Oct-20,2012,TV-MA,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.
Movie,The Kite,19-Oct-20,2003,TV-MA,"In an occupied village, a teen girl is set to wed a stranger. But when she crosses over to meet her betrothed, her heart gets entangled at the border."
Movie,The Little Wars,19-Oct-20,1982,TV-14,"Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped."
Movie,Under the Bombs,19-Oct-20,2007,TV-MA,A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.
TV Show,Unsolved Mysteries,19-Oct-20,2020,TV-MA,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series."
Movie,West Beirut,19-Oct-20,1999,TV-MA,"Three intrepid teens roam the streets of Beirut in the midst of civil war, filming on a Super 8 camera and reckoning with the pains of growing up."
Movie,What Did I Mess,19-Oct-20,2018,TV-14,"In an attempt to get her ex to propose, Nayla hosts a gathering to introduce him to her new suitor — only for the party to turn into a hellish occasion."
Movie,Whispers,19-Oct-20,1980,TV-14,"With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
Movie,Zozo,19-Oct-20,2005,TV-MA,"When Lebanon's Civil War deprives Zozo of his family, he's left with grief and little means as he escapes to Sweden in search of his grandparents."
Movie,ParaNorman,18-Oct-20,2012,PG,"When an army of zombies invades a small town, it's up to an odd local boy with a knack for communicating with the dead to save the day."
TV Show,Start-Up,18-Oct-20,2020,TV-14,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.
Movie,I Am Vengeance: Retaliation,17-Oct-20,2020,R,"To clear his criminal record, an ex-special forces soldier agrees to lead a team to retrieve a double-crossing mercenary and deliver him to justice."
Movie,Disconnect,16-Oct-20,2018,TV-MA,A group of singletons stumbles through the wild dating scene in Nairobi as two friends wonder if their relationship is more than platonic.
TV Show,Grand Army,16-Oct-20,2020,TV-MA,"Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed, survive, break free and seize the future."
Movie,In a Valley of Violence,16-Oct-20,2016,R,"After a quiet drifter is met with violence and bullying in a small town, he finds himself enmeshed in a vengeful struggle with the local marshal."
TV Show,La Révolution,16-Oct-20,2020,TV-MA,"In a reimagined history, a mysterious disease besets 18th century France, culminating in a brutal clash between rebels and the aristocracy."
TV Show,Someone Has to Die,16-Oct-20,2020,TV-MA,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences."
TV Show,The Last Kids on Earth,16-Oct-20,2020,TV-Y7,"When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos."
Movie,The Trial of the Chicago 7,16-Oct-20,2020,R,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
Movie,Unfriended,16-Oct-20,2014,R,Six teens whose cyberbullying drove their classmate to kill herself become the target of an online stalker with a lethal agenda.
Movie,A Babysitter's Guide to Monster Hunting,15-Oct-20,2020,TV-PG,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween."
Movie,Batman: The Killing Joke,15-Oct-20,2016,R,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.
Movie,El-Khawaga's Dilemma,15-Oct-20,2018,TV-14,"After a car crash, sparks fly for a financially struggling man and the daughter of a business tycoon, unraveling dark secrets and loose ends."
TV Show,Fireman Sam,15-Oct-20,2018,TV-Y,"Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency."
TV Show,Half & Half,15-Oct-20,2005,TV-14,"After two estranged half-sisters in their twenties find their lives suddenly entwined, they grow closer as they get to know more about each other."
Movie,Kartini: Princess of Java,15-Oct-20,2017,TV-PG,A woman of nobility battles patriarchal norms in order to improve educational access for women in early 1900s Indonesian society.
Movie,Love Like the Falling Rain,15-Oct-20,2020,TV-14,"Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man — until a fateful incident."
TV Show,One on One,15-Oct-20,2006,TV-14,"When his ex-wife lands a job abroad, athlete-turned-sportscaster Flex Washington assumes full-time custody of their teenage daughter, Breanna."
TV Show,Power Rangers Beast Morphers,15-Oct-20,2020,TV-Y7,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.
Movie,Rooting for Roona,15-Oct-20,2020,TV-PG,"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey."
TV Show,Social Distance,15-Oct-20,2020,TV-MA,"Filmed in isolation, this narrative anthology series features both dark and funny takes on how people strive to stay connected while staying apart."
Movie,A Choo,14-Oct-20,2020,TV-14,"Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain."
Movie,BLACKPINK: Light Up the Sky,14-Oct-20,2020,TV-14,Record-shattering Korean girl band BLACKPINK tell their story — and detail the hard-fought journey of the dreams and trials behind their meteoric rise.
Movie,The Three Deaths of Marisela Escobedo,14-Oct-20,2020,TV-MA,This documentary examines a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.
Movie,Fida,13-Oct-20,2004,TV-14,An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.
Movie,Octonauts & the Great Barrier Reef,13-Oct-20,2020,TV-Y,"In this musical special, the Octonauts must find a way to hold back hungry swarms of coral-eating starfish to save a new friend’s fragile reef home."
TV Show,The Cabin with Bert Kreischer,13-Oct-20,2020,TV-MA,"Fast-living comic Bert Kreischer heads to a cabin for some self-care and invites his funny friends to join his quest to cleanse his mind, body and soul."
Movie,Dil,12-Oct-20,1990,TV-14,A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.
Movie,Disco Dancer,12-Oct-20,1982,TV-14,"A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft."
Movie,Hunterrr,12-Oct-20,2015,TV-MA,A sex-obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.
TV Show,Kipo and the Age of Wonderbeasts,12-Oct-20,2020,TV-Y7,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew."
Movie,Phir Hera Pheri,12-Oct-20,2006,TV-14,"Driven by greed, three rich friends seek to double their wealth and find themselves indebted to a ruthless gangster."
Movie,The Legend of Bhagat Singh,12-Oct-20,2002,TV-14,"This biopic chronicles the life and times of iconic Indian revolutionary Bhagat Singh, who led an armed resistance against the British in the 1920."
Movie,House of the Witch,11-Oct-20,2017,TV-MA,A group of daring teens finds themselves in a fight for their lives inside a haunted house when a sinister spirit crashes their Halloween party.
TV Show,Deaf U,09-Oct-20,2020,TV-MA,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University."
Movie,Ginny Weds Sunny,09-Oct-20,2020,TV-MA,"Eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source: her mother."
Movie,My Step Dad: The Hippie,09-Oct-20,2018,TV-MA,"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married."
Movie,Super Monsters: Dia de los Monsters,09-Oct-20,2020,TV-Y,"The Super Monsters celebrate Día de los Muertos in Vida’s hometown with her magical family, some new monster friends and a spook-tacular parade!"
Movie,The Forty-Year-Old Version,09-Oct-20,2020,R,"Desperate for a breakthrough as she nears the big 4-0, struggling New York City playwright Radha finds inspiration by reinventing herself as a rapper."
TV Show,The Haunting of Bly Manor,09-Oct-20,2020,TV-MA,"Dead doesn't mean gone. An au pair plunges into an abyss of chilling secrets in this gothic romance from the creator of ""The Haunting of Hill House."""
Movie,Bigflo & Oli: Hip Hop Frenzy,08-Oct-20,2020,TV-MA,"Go backstage with French rap duo Bigflo & Oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour."
TV Show,Do Do Sol Sol La La Sol,08-Oct-20,2020,TV-14,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love."
Movie,Palermo Hollywood,08-Oct-20,2004,TV-MA,A pair of petty criminals from different backgrounds get tangled up in a gangster's kidnapping scheme that goes awry.
TV Show,Private Lives,08-Oct-20,2020,TV-14,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation."
TV Show,The 100,08-Oct-20,2020,TV-MA,"A century after Earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it's habitable."
Movie,Hubie Halloween,07-Oct-20,2020,PG-13,"Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
TV Show,To the Lake,07-Oct-20,2020,TV-MA,"Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive."
Movie,American Pie 9: Girls' Rules,06-Oct-20,2020,R,Four tight-knit high school seniors vow to turn their love lives around by homecoming when the arrival of a new student muddles their plans.
Movie,Dolly Parton: Here I Am,06-Oct-20,2019,TV-14,"Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career."
Movie,StarBeam: Halloween Hero,06-Oct-20,2020,TV-Y,"Greedy Captain Fishbeard is stealing everybody's Halloween treats for himself, but StarBeam and Boost have some tricks up their sleeves to save the day!"
Movie,Walk Away from Love,06-Oct-20,2017,TV-14,"Heartbroken from her last relationship, an attorney is wary of falling in love again. But crossing paths with an ex upends her plans to finally move on."
TV Show,Bad Boy Billionaires: India,05-Oct-20,2020,TV-14,"This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India’s most infamous tycoons."
Movie,David Attenborough: A Life on Our Planet,04-Oct-20,2020,PG,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future."
Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",03-Oct-20,2020,TV-MA,"From unseen footage to the last table read, this documentary takes an inside look at the final season of the acclaimed comedy series ""Schitt's Creek."""
Movie,Good Game: The Beginning,03-Oct-20,2018,TV-14,New high school grad and avid gamer Cenk is recruited to an intense esports team that trains for a tournament with a life-changing prize.
TV Show,Pat a Pat Como,03-Oct-20,2016,TV-Y,"For Como and his friends, each new adventure is a lesson on why it's important to be considerate — and to take care of one another!"
TV Show,Qurious Como,03-Oct-20,2017,TV-Y,"Shrunk down in size, Como and his friends examine the wonder-filled world around them one item at a time, from foods to household goods."
Movie,A Chaster Marriage,02-Oct-20,2016,TV-14,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves."
Movie,A Go! Go! Cory Carson Halloween,02-Oct-20,2020,TV-Y,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?"
TV Show,DreamWorks Happy Holidays from Madagascar,02-Oct-20,2005,TV-PG,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.
TV Show,Emily in Paris,02-Oct-20,2020,TV-MA,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance."
TV Show,H2O: Just Add Water,02-Oct-20,2009,TV-PG,The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.
Movie,Òlòtūré,02-Oct-20,2020,TV-MA,"In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence."
Movie,Serious Men,02-Oct-20,2020,TV-MA,"When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son."
Movie,The Binding,02-Oct-20,2020,TV-MA,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
Movie,Turkish Dance School,02-Oct-20,2017,TV-MA,A woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance.
Movie,Vampires vs. the Bronx,02-Oct-20,2020,PG-13,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.
